0_WRIST_x,0_WRIST_y,0_THUMB_CMC_x,0_THUMB_CMC_y,0_THUMB_MCP_x,0_THUMB_MCP_y,0_THUMB_IP_x,0_THUMB_IP_y,0_THUMB_TIP_x,0_THUMB_TIP_y,0_INDEX_FINGER_MCP_x,0_INDEX_FINGER_MCP_y,0_INDEX_FINGER_PIP_x,0_INDEX_FINGER_PIP_y,0_INDEX_FINGER_DIP_x,0_INDEX_FINGER_DIP_y,0_INDEX_FINGER_TIP_x,0_INDEX_FINGER_TIP_y,0_MIDDLE_FINGER_MCP_x,0_MIDDLE_FINGER_MCP_y,0_MIDDLE_FINGER_PIP_x,0_MIDDLE_FINGER_PIP_y,0_MIDDLE_FINGER_DIP_x,0_MIDDLE_FINGER_DIP_y,0_MIDDLE_FINGER_TIP_x,0_MIDDLE_FINGER_TIP_y,0_RING_FINGER_MCP_x,0_RING_FINGER_MCP_y,0_RING_FINGER_PIP_x,0_RING_FINGER_PIP_y,0_RING_FINGER_DIP_x,0_RING_FINGER_DIP_y,0_RING_FINGER_TIP_x,0_RING_FINGER_TIP_y,0_PINKY_MCP_x,0_PINKY_MCP_y,0_PINKY_PIP_x,0_PINKY_PIP_y,0_PINKY_DIP_x,0_PINKY_DIP_y,0_PINKY_TIP_x,0_PINKY_TIP_y,label
0.0,0.0,-35.3045654296875,2.945680618286133,-70.3262710571289,-7.939109802246094,-92.12505340576172,-25.594053268432617,-103.48396301269531,-44.37993049621582,-81.7361831665039,-52.19985008239746,-103.61656188964844,-75.7935905456543,-115.43220520019531,-91.24003887176514,-124.82597351074219,-106.07738971710205,-69.74483489990234,-66.61180973052979,-94.70623016357422,-94.55863952636719,-108.70914459228516,-112.3401403427124,-120.87451934814453,-128.0943202972412,-53.237342834472656,-74.18971538543701,-76.67594909667969,-100.40176391601562,-90.7082748413086,-116.58678531646729,-104.05017852783203,-130.8143949508667,-32.199668884277344,-76.5223217010498,-46.84917449951172,-97.44802951812744,-55.937843322753906,-111.57487392425537,-65.18989562988281,-125.01608848571777,HI
0.0,0.0,-35.65258026123047,2.9328060150146484,-70.8664321899414,-7.904033660888672,-92.84061431884766,-25.250244140625,-103.21525573730469,-44.6927547454834,-82.09991455078125,-51.8369722366333,-103.91990661621094,-75.36200523376465,-115.70682525634766,-90.66853523254395,-125.27320861816406,-105.47244071960449,-70.07423400878906,-66.36178493499756,-94.7922134399414,-94.14739608764648,-108.74561309814453,-111.70761108398438,-121.24420166015625,-127.48397827148438,-53.43921661376953,-73.9848518371582,-77.04509735107422,-100.1936388015747,-90.99853515625,-116.21862888336182,-104.61177825927734,-130.54035186767578,-32.26318359375,-76.21735095977783,-47.34947204589844,-97.14231491088867,-56.708984375,-111.25167846679688,-66.42040252685547,-124.77536201477051,HI
0.0,0.0,-35.71502685546875,3.1571102142333984,-71.04045867919922,-6.953258514404297,-93.39282989501953,-24.33877944946289,-104.57847595214844,-43.84137153625488,-82.99819946289062,-51.61372661590576,-105.18787384033203,-74.99284744262695,-117.24674224853516,-90.09790420532227,-127.00191497802734,-104.69535827636719,-71.04053497314453,-66.14769458770752,-96.44290924072266,-93.83402824401855,-110.76107025146484,-111.41520023345947,-123.18794250488281,-126.89718246459961,-54.426422119140625,-73.98181915283203,-78.40354919433594,-100.04450798034668,-92.6873779296875,-116.1496639251709,-106.21055603027344,-130.32660484313965,-33.34636688232422,-76.81291580200195,-48.45111846923828,-97.65101909637451,-57.32048034667969,-111.76308631896973,-66.22211456298828,-125.32294750213623,HI
0.0,0.0,-35.61016082763672,3.028707504272461,-70.64971923828125,-7.302989959716797,-92.83302307128906,-24.189720153808594,-104.49024200439453,-42.849111557006836,-83.28544616699219,-51.52024269104004,-105.22270202636719,-74.63254451751709,-117.13584899902344,-89.58646774291992,-126.84272766113281,-103.96918773651123,-71.34315490722656,-66.15614891052246,-96.54045104980469,-93.66342544555664,-110.75439453125,-111.03592872619629,-123.34636688232422,-126.37069702148438,-54.65137481689453,-74.01925563812256,-78.55934143066406,-99.89991188049316,-92.82146453857422,-115.76302528381348,-106.67610168457031,-129.71590518951416,-33.26801300048828,-76.77240371704102,-48.12946319580078,-97.65453815460205,-57.38090515136719,-111.63402557373047,-67.0187759399414,-124.93197441101074,HI
0.0,0.0,-35.863075256347656,3.3349227905273438,-70.7989501953125,-6.41993522644043,-93.41835021972656,-23.46745491027832,-104.68326568603516,-42.99488067626953,-83.70964050292969,-51.10031604766846,-105.81466674804688,-73.8376235961914,-117.8140640258789,-88.398756980896,-127.87063598632812,-102.82732486724854,-71.73938751220703,-65.80540180206299,-96.7144775390625,-92.61753559112549,-111.026611328125,-109.54683780670166,-124.15386199951172,-124.95366096496582,-55.21984100341797,-73.69441509246826,-78.80794525146484,-99.16159629821777,-93.00071716308594,-114.73066806793213,-106.97166442871094,-128.63977432250977,-34.089317321777344,-76.52978897094727,-49.37610626220703,-97.12399005889893,-58.893775939941406,-110.94832420349121,-68.8199234008789,-124.22318458557129,HI
0.0,0.0,-35.507965087890625,3.333292007446289,-70.38509368896484,-5.910959243774414,-93.55304718017578,-22.02967643737793,-105.72189331054688,-40.889596939086914,-83.84166717529297,-49.873666763305664,-106.1281967163086,-72.32195377349854,-118.3853530883789,-86.91802024841309,-128.5230255126953,-101.39405250549316,-72.14591979980469,-64.75064277648926,-97.73113250732422,-91.57446384429932,-112.11189270019531,-108.57307434082031,-125.0979232788086,-124.03809070587158,-55.57819366455078,-72.98917293548584,-79.91153717041016,-98.3309555053711,-94.47425842285156,-114.11152839660645,-108.60958099365234,-128.29349040985107,-34.328651428222656,-76.2703800201416,-49.41947937011719,-96.81321144104004,-58.67382049560547,-110.76024055480957,-68.33637237548828,-124.28824424743652,HI
0.0,0.0,-35.65673828125,3.359556198120117,-70.5649185180664,-5.666656494140625,-93.39187622070312,-22.12569236755371,-105.67928314208984,-41.1317253112793,-83.86283874511719,-49.85090732574463,-106.44603729248047,-72.32421398162842,-118.67263793945312,-86.71899318695068,-128.71902465820312,-100.73844909667969,-72.14302062988281,-64.68287944793701,-97.85533905029297,-91.42187118530273,-112.33539581298828,-108.10592651367188,-125.27946472167969,-122.86623001098633,-55.6170654296875,-72.9631519317627,-79.96898651123047,-98.4404468536377,-94.4168472290039,-114.03501033782959,-108.36318969726562,-127.69669532775879,-34.427757263183594,-76.40928268432617,-49.406089782714844,-97.65296459197998,-58.73161315917969,-111.93028450012207,-68.4499740600586,-125.33560752868652,HI
0.0,0.0,-35.9344482421875,3.781900405883789,-70.94676971435547,-5.309286117553711,-93.62674713134766,-22.182111740112305,-106.13323211669922,-40.96040725708008,-83.96148681640625,-49.31844234466553,-106.68098449707031,-71.51797771453857,-119.00444030761719,-85.84851264953613,-129.28646087646484,-99.90448951721191,-72.34916687011719,-64.22049522399902,-97.92671203613281,-90.52465438842773,-112.4393081665039,-107.1668815612793,-125.58662414550781,-122.18198776245117,-55.993499755859375,-72.52565860748291,-79.95414733886719,-97.63742923736572,-94.07333374023438,-113.28676700592041,-107.9425048828125,-127.20077991485596,-34.96837615966797,-76.07028007507324,-49.7235107421875,-96.99751853942871,-58.90491485595703,-111.13245964050293,-68.65272521972656,-124.6190071105957,HI
0.0,0.0,-35.197410583496094,4.074697494506836,-70.10906219482422,-4.903621673583984,-92.90267944335938,-21.18438720703125,-105.56995391845703,-39.84214782714844,-84.17892456054688,-49.209022521972656,-106.62208557128906,-71.37382507324219,-118.86714935302734,-85.86173057556152,-128.9931869506836,-100.15133857727051,-72.39208221435547,-63.94204616546631,-97.95047760009766,-90.00330448150635,-112.44956970214844,-106.57648086547852,-125.55366516113281,-121.72917366027832,-55.8038330078125,-72.21460819244385,-80.04638671875,-97.24665641784668,-94.6786880493164,-112.90706634521484,-109.07066345214844,-127.11750984191895,-34.625091552734375,-75.65534591674805,-49.41852569580078,-96.15859508514404,-58.619842529296875,-110.16205787658691,-68.363037109375,-123.7137508392334,HI
0.0,0.0,-35.08537292480469,3.8857269287109375,-70.15144348144531,-5.415773391723633,-92.91217803955078,-21.573486328125,-105.61027526855469,-40.28185844421387,-83.38119506835938,-49.37699317932129,-105.82015991210938,-71.74208164215088,-118.31329345703125,-86.21599674224854,-128.6444091796875,-100.25022983551025,-71.75434112548828,-64.16746616363525,-97.57377624511719,-90.75150489807129,-112.38208770751953,-107.33675479888916,-125.64598083496094,-122.01141357421875,-55.28491973876953,-72.45001316070557,-79.8720932006836,-98.0132246017456,-94.52903747558594,-113.85538101196289,-108.77113342285156,-127.8367280960083,-34.11338806152344,-75.7965087890625,-48.983726501464844,-97.12635040283203,-58.518028259277344,-111.57461643218994,-68.5995864868164,-125.14118671417236,HI
0.0,0.0,-34.650726318359375,2.560243606567383,-69.17621612548828,-6.63966178894043,-92.47283935546875,-22.584171295166016,-104.18167114257812,-42.53588676452637,-82.70305633544922,-50.14084339141846,-105.05569458007812,-72.26637840270996,-117.20294952392578,-86.87517642974854,-127.11273193359375,-101.48181438446045,-70.8453369140625,-64.99890804290771,-95.96244812011719,-91.41599178314209,-110.28606414794922,-108.25605869293213,-123.33477020263672,-123.55087280273438,-54.09263610839844,-73.2624864578247,-77.30350494384766,-98.74013900756836,-91.28318786621094,-114.6078872680664,-104.95624542236328,-128.5468626022339,-32.78636932373047,-76.49345397949219,-46.46827697753906,-97.39108085632324,-55.60710906982422,-111.67350769042969,-65.50853729248047,-125.20088195800781,HI
0.0,0.0,-34.758949279785156,3.554964065551758,-69.62257385253906,-6.919927597045898,-92.28286743164062,-24.832849502563477,-104.35264587402344,-44.819297790527344,-81.50402069091797,-51.19412899017334,-103.90220642089844,-73.35532665252686,-115.85453033447266,-88.21825504302979,-125.40069580078125,-102.9759407043457,-69.55608367919922,-66.12091541290283,-94.99156951904297,-93.10200691223145,-109.4394302368164,-110.65718650817871,-121.88838958740234,-126.2515926361084,-52.95845031738281,-74.00434970855713,-75.95428466796875,-99.8573112487793,-89.9960708618164,-116.21529579162598,-103.36803436279297,-130.4372262954712,-31.820640563964844,-76.98822498321533,-45.025787353515625,-98.11500549316406,-53.86768341064453,-112.10775375366211,-63.393096923828125,-125.18314361572266,HI
0.0,0.0,-35.24085998535156,2.8712940216064453,-70.36056518554688,-8.001337051391602,-92.9439926147461,-25.71310043334961,-103.93150329589844,-46.49216651916504,-81.38442993164062,-52.32032775878906,-102.72613525390625,-75.32383918762207,-114.57099914550781,-90.7597303390503,-124.26097869873047,-106.01752281188965,-68.941650390625,-66.96664810180664,-93.54755401611328,-94.3606424331665,-107.63374328613281,-112.16135501861572,-120.36975860595703,-128.21624279022217,-51.82910919189453,-74.68993663787842,-74.42890167236328,-100.60389518737793,-88.09635162353516,-117.18046188354492,-101.5985107421875,-131.69089794158936,-30.074806213378906,-77.39221572875977,-42.91278839111328,-98.67184638977051,-51.52130126953125,-113.11537742614746,-61.01215362548828,-126.7444896697998,HI
0.0,0.0,-35.819129943847656,1.868276596069336,-70.06053924560547,-9.35211181640625,-92.15198516845703,-27.45809555053711,-103.05896759033203,-48.53239059448242,-80.05691528320312,-53.97850513458252,-101.58256530761719,-77.29559898376465,-113.21327209472656,-92.93824195861816,-122.43782043457031,-108.44930648803711,-67.22946166992188,-68.29529285430908,-92.27577209472656,-95.92247486114502,-106.6141128540039,-113.83801460266113,-119.44622039794922,-129.9826955795288,-49.84302520751953,-75.79550743103027,-72.34062194824219,-102.00201988220215,-86.04595184326172,-118.7193775177002,-99.37015533447266,-133.34149360656738,-27.824363708496094,-78.28609943389893,-40.76820373535156,-99.88492012023926,-49.30835723876953,-114.57306861877441,-58.615684509277344,-128.3955717086792,HI
0.0,0.0,-35.42778015136719,1.6950416564941406,-69.820556640625,-9.288625717163086,-91.9696044921875,-27.89414405822754,-103.10253143310547,-49.4525671005249,-79.69493865966797,-54.611263275146484,-101.224365234375,-78.20443153381348,-112.63076782226562,-94.01398658752441,-121.5182876586914,-109.73201751708984,-66.79271697998047,-68.92727851867676,-91.43936157226562,-96.3259220123291,-105.3445816040039,-114.39878940582275,-117.34378814697266,-130.53391456604004,-49.45426940917969,-76.2467622756958,-70.99044799804688,-102.52063751220703,-84.47029113769531,-119.48385715484619,-97.432861328125,-134.17702674865723,-27.598037719726562,-78.64115238189697,-39.03526306152344,-100.33880710601807,-47.15900421142578,-114.97653007507324,-56.13433837890625,-128.59379768371582,HI
